customer_id,first_name,last_name,email,phone,date_of_birth,segment,geo_id,tenure_months,contact_pref,marketing_opt_in
CUST000001,Danielle,Garcia,danielle.garcia524@example.com,283-644-0892,1942-01-01,Consumer,GEO000042,23,sms,True
CUST000002,Angel,Jennings,angel.jennings562@example.com,687-056-8566,2003-12-01,Premium,GEO000025,13,phone,True
CUST000003,Joshua,Stephens,joshua.stephens882@example.com,246-287-3342,1944-04-23,Consumer,GEO000001,0,email,False
CUST000004,Jeffrey,Levine,jeffrey.levine806@example.com,708-668-8263,1942-05-04,Consumer,GEO000050,57,email,False
CUST000005,Jill,Howard,jill.howard292@example.com,435-175-1830,1993-03-10,Consumer,GEO000008,1,email,False
CUST000006,Erica,Sanders,erica.sanders901@example.com,469-901-3983,1993-09-30,Consumer,GEO000050,106,phone,False
CUST000007,Patricia,Lopez,patricia.lopez520@example.com,735-403-3173,1995-10-04,Consumer,GEO000010,2,sms,True
CUST000008,Christopher,Martinez,christopher.martinez188@example.com,936-385-4678,1953-11-22,SmallBusiness,GEO000001,18,email,True
CUST000009,Robert,Charles,robert.charles340@example.com,544-587-7175,1976-11-23,Consumer,GEO000053,8,email,False
CUST000010,Anthony,Gibson,anthony.gibson741@example.com,355-609-3204,1981-12-05,Consumer,GEO000027,34,sms,False
CUST000011,Jeffery,Bates,jeffery.bates821@example.com,899-642-3536,1999-02-01,Consumer,GEO000026,0,sms,False
CUST000012,William,May,william.may374@example.com,937-854-7772,1966-05-12,Consumer,GEO000039,26,sms,True
CUST000013,Anthony,Harper,anthony.harper158@example.com,522-872-8080,1986-12-13,Consumer,GEO000017,20,email,False
CUST000014,James,Smith,james.smith192@example.com,100-623-1203,1987-01-23,Consumer,GEO000042,3,phone,False
CUST000015,Debra,Buchanan,debra.buchanan104@example.com,875-099-7700,1990-10-05,Consumer,GEO000026,16,sms,False
CUST000016,Amy,Sanchez,amy.sanchez698@example.com,886-008-4840,1941-10-10,Consumer,GEO000017,20,sms,False
CUST000017,Jeffrey,Martinez,jeffrey.martinez502@example.com,862-118-2339,1978-02-21,Consumer,GEO000024,8,sms,True
CUST000018,Bridget,Cunningham,bridget.cunningham451@example.com,845-461-5679,1973-05-10,Consumer,GEO000001,29,phone,True
CUST000019,Lisa,Jones,lisa.jones671@example.com,334-101-6668,1944-02-03,Consumer,GEO000019,26,phone,True
CUST000020,Adam,Hubbard,adam.hubbard828@example.com,700-217-6591,1966-11-21,Premium,GEO000036,17,sms,True
CUST000021,Linda,Clark,linda.clark794@example.com,803-397-4014,1992-08-25,Consumer,GEO000009,23,email,False
CUST000022,Helen,Robinson,helen.robinson137@example.com,890-250-3926,1966-03-20,Consumer,GEO000008,17,email,True
CUST000023,Matthew,Kane,matthew.kane589@example.com,142-939-6856,1987-11-14,Consumer,GEO000040,4,phone,True
CUST000024,Eric,Murphy,eric.murphy881@example.com,218-501-6315,1949-01-24,Consumer,GEO000026,33,sms,True
CUST000025,Susan,Hernandez,susan.hernandez773@example.com,999-650-4773,1969-10-14,Consumer,GEO000009,28,email,False
